2026-03-16 07:55:28,066 | ERROR    | XP3.Strategy.AR-EMA-RSI | Error analyzing XAUEUR: 'AdaptiveEmaRsiStrategy' object has no attribute 'regime_metrics'
2026-03-16 07:55:29,072 | WARNING  | XP3.SessionAnalyzer | Arquivo de parâmetros de sessão não encontrado em data\session_optimized_params.json. Usando padrões.
2026-03-16 07:55:29,084 | ERROR    | XP3.Strategy.AR-EMA-RSI | Error analyzing XAUUSD: 'AdaptiveEmaRsiStrategy' object has no attribute 'regime_metrics'
2026-03-16 07:55:30,095 | WARNING  | XP3.SessionAnalyzer | Arquivo de parâmetros de sessão não encontrado em data\session_optimized_params.json. Usando padrões.
2026-03-16 07:55:30,106 | ERROR    | XP3.Strategy.AR-EMA-RSI | Error analyzing XAUAUD: 'AdaptiveEmaRsiStrategy' object has no attribute 'regime_metrics'
2026-03-16 07:55:31,116 | WARNING  | XP3.SessionAnalyzer | Arquivo de parâmetros de sessão não encontrado em data\session_optimized_params.json. Usando padrões.
2026-03-16 07:55:31,146 | ERROR    | XP3.Strategy.AR-EMA-RSI | Error analyzing XAUAUD: 'AdaptiveEmaRsiStrategy' object has no attribute 'regime_metrics'
2026-03-16 07:55:32,151 | WARNING  | XP3.SessionAnalyzer | Arquivo de parâmetros de sessão não encontrado em data\session_optimized_params.json. Usando padrões.
2026-03-16 07:55:32,173 | ERROR    | XP3.Strategy.AR-EMA-RSI | Error analyzing XAGAUD: 'AdaptiveEmaRsiStrategy' object has no attribute 'regime_metrics'
2026-03-16 07:55:33,179 | WARNING  | XP3.SessionAnalyzer | Arquivo de parâmetros de sessão não encontrado em data\session_optimized_params.json. Usando padrões.
2026-03-16 07:55:33,185 | ERROR    | XP3.Strategy.AR-EMA-RSI | Error analyzing UK100: 'AdaptiveEmaRsiStrategy' object has no attribute 'regime_metrics'
2026-03-16 07:55:34,194 | WARNING  | XP3.SessionAnalyzer | Arquivo de parâmetros de sessão não encontrado em data\session_optimized_params.json. Usando padrões.
2026-03-16 07:55:34,203 | ERROR    | XP3.Strategy.AR-EMA-RSI | Error analyzing UK100: 'AdaptiveEmaRsiStrategy' object has no attribute 'regime_metrics'
2026-03-16 07:55:35,213 | WARNING  | XP3.SessionAnalyzer | Arquivo de parâmetros de sessão não encontrado em data\session_optimized_params.json. Usando padrões.
