2026-01-05 13:31:30,256 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:32:03,208 | INFO     | ml_optimizer | ✅ Histórico ML carregado: 73 trades válidos
2026-01-05 13:32:03,215 | INFO     | ml_optimizer | ✅ Q-table carregada: 7 símbolos
2026-01-05 13:32:03,216 | INFO     | ml_optimizer | ✅ ML Optimizer v3.1 inicializado
2026-01-05 13:32:03,218 | INFO     | XP3_FOREX    | ================================================================================
2026-01-05 13:32:03,218 | INFO     | XP3_FOREX    | 🚀 XP3 PRO FOREX BOT v4.0 - AUDITORIA COMPLETA
2026-01-05 13:32:03,218 | INFO     | XP3_FOREX    | ================================================================================
2026-01-05 13:32:03,221 | INFO     | XP3_FOREX    | 📊 Conta: 52659795 | Balance: $985,014.05
2026-01-05 13:32:03,222 | INFO     | XP3_FOREX    | 🚀 Fast Loop iniciado
2026-01-05 13:32:03,223 | INFO     | XP3_FOREX    | 🧠 Slow Loop iniciado
2026-01-05 13:32:03,226 | INFO     | XP3_FOREX    | ✅ Sistema ativo com watchdog e auditoria completa
2026-01-05 13:32:03,239 | INFO     | XP3_FOREX    | ================================================================================
2026-01-05 13:32:03,422 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:32:03,737 | INFO     | utils_forex  | ✅ Telegram bot inicializado
2026-01-05 13:32:03,738 | INFO     | XP3_FOREX    | 📱 Telegram bot iniciado
2026-01-05 13:32:08,572 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:32:13,797 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:32:18,973 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:32:24,253 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:32:45,251 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:32:50,879 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:32:56,159 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:33:23,385 | INFO     | ml_optimizer | ✅ Histórico ML carregado: 73 trades válidos
2026-01-05 13:33:23,390 | INFO     | ml_optimizer | ✅ Q-table carregada: 7 símbolos
2026-01-05 13:33:23,390 | INFO     | ml_optimizer | ✅ ML Optimizer v3.1 inicializado
2026-01-05 13:33:23,392 | INFO     | XP3_FOREX    | ================================================================================
2026-01-05 13:33:23,392 | INFO     | XP3_FOREX    | 🚀 XP3 PRO FOREX BOT v4.0 - AUDITORIA COMPLETA
2026-01-05 13:33:23,393 | INFO     | XP3_FOREX    | ================================================================================
2026-01-05 13:33:23,438 | INFO     | XP3_FOREX    | 📊 Conta: 52659795 | Balance: $985,014.05
2026-01-05 13:33:23,453 | INFO     | XP3_FOREX    | 🚀 Fast Loop iniciado
2026-01-05 13:33:23,456 | INFO     | XP3_FOREX    | 🧠 Slow Loop iniciado
2026-01-05 13:33:32,877 | INFO     | XP3_FOREX    | ✅ Sistema ativo com watchdog e auditoria completa
2026-01-05 13:33:32,877 | INFO     | XP3_FOREX    | ================================================================================
2026-01-05 13:33:36,858 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:33:37,071 | INFO     | utils_forex  | ✅ Telegram bot inicializado
2026-01-05 13:33:37,072 | INFO     | XP3_FOREX    | 📱 Telegram bot iniciado
2026-01-05 13:33:41,938 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:33:52,332 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:33:58,099 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:34:03,267 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:34:08,677 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:34:24,808 | INFO     | ml_optimizer | ✅ Histórico ML carregado: 73 trades válidos
2026-01-05 13:34:24,810 | INFO     | ml_optimizer | ✅ Q-table carregada: 7 símbolos
2026-01-05 13:34:24,811 | INFO     | ml_optimizer | ✅ ML Optimizer v3.1 inicializado
2026-01-05 13:34:24,813 | INFO     | XP3_FOREX    | ================================================================================
2026-01-05 13:34:24,813 | INFO     | XP3_FOREX    | 🚀 XP3 PRO FOREX BOT v4.0 - AUDITORIA COMPLETA
2026-01-05 13:34:24,813 | INFO     | XP3_FOREX    | ================================================================================
2026-01-05 13:34:24,818 | INFO     | XP3_FOREX    | 📊 Conta: 52659795 | Balance: $985,014.05
2026-01-05 13:34:24,821 | INFO     | XP3_FOREX    | 🚀 Fast Loop iniciado
2026-01-05 13:34:24,821 | INFO     | XP3_FOREX    | 🧠 Slow Loop iniciado
2026-01-05 13:34:24,825 | INFO     | XP3_FOREX    | ✅ Sistema ativo com watchdog e auditoria completa
2026-01-05 13:34:24,825 | INFO     | XP3_FOREX    | ================================================================================
2026-01-05 13:34:25,080 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:34:25,448 | INFO     | XP3_FOREX    | 📱 Telegram bot iniciado
2026-01-05 13:34:30,172 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:34:35,342 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:34:40,509 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:34:45,622 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:34:50,746 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
2026-01-05 13:34:55,868 | ERROR    | XP3_FOREX    | ❌ FAST LOOP: can't multiply sequence by non-int of type 'float'
